n,sigma,p,true_quantile,empirical_variance,theoretical_variance,conf_level,golden_mean_var,golden_bias,golden_rel_bias,golden_coverage,plugin_mean_var,plugin_bias,plugin_rel_bias,plugin_mse,plugin_coverage,bootstrap_mean_var,bootstrap_bias,bootstrap_rel_bias,bootstrap_mse,bootstrap_coverage
30,0.5,0.5,1.0,0.012452843013944608,0.01308996938995747,0.95,0.01308996938995747,0.0006371263760128632,0.0511631259865248,0.954,0.017503932324510734,0.0050510893105661266,0.4056173602212725,6.788490756128901e-05,0.958,0.01509942815800599,0.0026465851440613825,0.21252858813828737,9.436698082848074e-05,0.918
100,0.5,0.5,1.0,0.004214325834851999,0.003926990816987241,0.95,0.003926990816987241,-0.00028733501786475796,-0.06818054159185552,0.938,0.004658079685294819,0.0004437538504428202,0.10529652139685687,1.3180392928588215e-06,0.954,0.004309351310421258,9.502547556925877e-05,0.022548203269763534,4.680808731346427e-06,0.932
500,0.5,0.5,1.0,0.0008610447481380006,0.0007853981633974482,0.95,0.0007853981633974482,-7.564658474055238e-05,-0.0878544174436198,0.928,0.0008499122547895501,-1.1132493348450486e-05,-0.012929053190933891,9.535610512209123e-09,0.936,0.0008227834642032583,-3.82612839347423e-05,-0.04443588328885565,8.607325472928217e-08,0.914
1000,0.5,0.5,1.0,0.00033256025534020214,0.0003926990816987241,0.95,0.0003926990816987241,6.0138826358521974e-05,0.18083587979267463,0.966,0.00041475368817419023,8.21934328339881e-05,0.24715350530960456,7.959741803253616e-09,0.972,0.00040666920964789113,7.4108954307689e-05,0.22284368958003445,2.0074981712753122e-08,0.962
30,0.5,0.95,2.276016608514317,0.1345159462143901,0.19277276574987942,0.95,0.19277276574987942,0.058256819535489335,0.43308485852406103,0.978,0.19500211637539364,0.06048617016100355,0.4496579912139289,0.7995674678166277,0.744,0.19673731981466847,0.06222137360027838,0.4625576026585771,0.1131961590676253,0.836
100,0.5,0.95,2.276016608514317,0.048689940805651866,0.05783182972496383,0.95,0.05783182972496383,0.009141888919311968,0.18775724036720925,0.966,0.04515764925120354,-0.0035322915544483274,-0.0725466389155746,0.00222263329739803,0.84,0.07179307911375063,0.023103138308098764,0.47449509951790664,0.0040515097383871665,0.906
500,0.5,0.95,2.276016608514317,0.011234887454837575,0.011566365944992765,0.95,0.011566365944992765,0.0003314784901551904,0.029504389028166073,0.952,0.010303683090382414,-0.0009312043644551602,-0.08288506388679466,2.3864501625107e-05,0.9,0.012757691366729051,0.001522803911891477,0.13554242692798674,5.415315602170391e-05,0.916
1000,0.5,0.95,2.276016608514317,0.00483802929407975,0.0057831829724963825,0.95,0.0057831829724963825,0.0009451536784166326,0.1953592301669624,0.972,0.005271928928993842,0.0004338996349140924,0.08968520208115549,2.91587497711418e-06,0.946,0.006272996907750876,0.0014349676136711257,0.29660167941254134,1.0673782924265188e-05,0.954
30,0.5,0.99,3.200074007942962,0.4621928212608675,1.1893501991881998,0.95,1.1893501991881998,0.7271573779273324,1.5732770923261818,0.988,0.9158884646923381,0.45369564343147056,0.9816155131829686,18.42378915502321,0.43,0.21272874112852252,-0.249464080132345,-0.539740274311929,0.19853567761427984,0.46
100,0.5,0.99,3.200074007942962,0.26529925681685473,0.35680505975645993,0.95,0.35680505975645993,0.0915058029396052,0.3449154137765822,0.98,0.09615068018893246,-0.16914857662792226,-0.6375765188995286,0.039074457536491365,0.576,0.25343206617829084,-0.011867190638563896,-0.04473133766355112,0.09778717567606722,0.758
500,0.5,0.99,3.200074007942962,0.06942296626564563,0.07136101195129199,0.95,0.07136101195129199,0.0019380456856463585,0.02791649204717736,0.964,0.056996018031904384,-0.012426948233741249,-0.1790034177766155,0.0033299211550128225,0.822,0.09257505699253411,0.02315209072688848,0.3334932511857453,0.007020608208068954,0.906
1000,0.5,0.99,3.200074007942962,0.0337059234425833,0.035680505975645996,0.95,0.035680505975645996,0.0019745825330626937,0.05858265644097591,0.95,0.03327327159658209,-0.0004326518460012127,-0.012836077514334176,0.00136210600457271,0.866,0.042048255972860035,0.008342332530276733,0.247503455720107,0.000940507528524227,0.902
30,1.0,0.5,1.0,0.05383878456852296,0.05235987755982988,0.95,0.05235987755982988,-0.0014789070086930756,-0.027469175252476333,0.958,0.11367474751998832,0.059835962951465364,1.1113914147766382,0.011323961208770718,0.984,0.06658990664480331,0.012751122076280354,0.23683896615554995,0.002614976527619085,0.942
100,1.0,0.5,1.0,0.01783546341148706,0.015707963267948963,0.95,0.015707963267948963,-0.0021275001435380955,-0.11928482565627443,0.946,0.02605507253004485,0.008219609118557791,0.4608576143451307,0.0001928737520780352,0.97,0.017801403052935125,-3.406035855193362e-05,-0.0019096985464362424,8.757153292909973e-05,0.928
500,1.0,0.5,1.0,0.003130350882080157,0.003141592653589793,0.95,0.003141592653589793,1.1241771509636067e-05,0.0035912177046957022,0.95,0.003817276014046427,0.0006869251319662701,0.2194402984977198,9.080746473134864e-07,0.968,0.0033059173615049577,0.0001755664794248009,0.05608523965471079,1.5927242778976566e-06,0.956
1000,1.0,0.5,1.0,0.0014757576354952355,0.0015707963267948964,0.95,0.0015707963267948964,9.503869129966094e-05,0.06439993194937312,0.958,0.0017554606554429722,0.0002797030199477367,0.18953181282634787,1.2420330302962623e-07,0.96,0.0016076117513471853,0.00013185411585194982,0.08934672786409277,2.8733335375638095e-07,0.952
30,1.0,0.95,5.180251602233013,3.1267041944845975,3.9944457145708063,0.95,3.9944457145708063,0.8677415200862089,0.27752593981127993,0.974,10.201471080155184,7.074766885670586,2.2626914621953174,5031.039326339644,0.634,6.011298628446408,2.8845944339618104,0.9225671040612474,438.64550604870846,0.762
100,1.0,0.95,5.180251602233013,0.9927344198658052,1.198333714371242,0.95,1.198333714371242,0.2055992945054368,0.20710402539808084,0.972,0.7906739328956875,-0.2020604869701177,-0.2035393181969369,0.9181095470277062,0.798,1.728458765062998,0.7357243451971927,0.7411089315273722,6.4557404342074,0.9
500,1.0,0.95,5.180251602233013,0.2313950067024057,0.2396667428742484,0.95,0.2396667428742484,0.008271736171842708,0.035747254401564885,0.954,0.20963361775981304,-0.021761388942592663,-0.09404433247161517,0.014837673399415524,0.888,0.27712311071099294,0.045728104008587234,0.19761923414102703,0.02533534518905796,0.924
1000,1.0,0.95,5.180251602233013,0.11791931322156578,0.1198333714371242,0.95,0.1198333714371242,0.0019140582155584285,0.01623193150694482,0.952,0.10976257415315684,-0.008156739068408941,-0.069172206363539,0.0020425621728354447,0.91,0.13244311940624579,0.014523806184680008,0.1231673233831539,0.004063471513856003,0.942
30,1.0,0.99,10.240473656312131,16.18689609241055,48.718037531665445,0.95,48.718037531665445,32.531141439254895,2.009720779915772,0.99,480.41046264210166,464.2235665496911,28.67897365248108,19440560.20494195,0.4,6.841955741179326,-9.344940351231223,-0.5773151503463797,618.3126383689224,0.412
100,1.0,0.99,10.240473656312131,10.132554669972732,14.615411259499634,0.95,14.615411259499634,4.482856589526902,0.4424211598691493,0.98,2.4183215552583444,-7.714233114714387,-0.7613315068089485,68.14789776239354,0.518,16.693836955544846,6.561282285572114,0.6475447208803238,1784.462633369499,0.746
500,1.0,0.99,10.240473656312131,2.6262998056448037,2.923082251899927,0.95,2.923082251899927,0.2967824462551234,0.11300402399499017,0.97,1.9386262125814855,-0.6876735930633182,-0.26184123822622074,5.804106798833898,0.792,3.949512403786004,1.3232125981412004,0.503831510514211,20.270826540434793,0.902
1000,1.0,0.99,10.240473656312131,1.45922021926306,1.4615411259499635,0.95,1.4615411259499635,0.0023209066869036565,0.0015905116008300435,0.966,1.279537527098688,-0.17968269216437194,-0.12313610364795786,2.0429789324696532,0.818,1.8201442921175548,0.3609240728544949,0.2473403726798481,2.2085205324836368,0.926
30,1.5,0.5,1.0,0.12230725994211085,0.1178097245096172,0.95,0.1178097245096172,-0.004497535432493649,-0.036772432271169955,0.938,1.2232772792229767,1.1009700192808658,9.001673488572674,11.826084164172602,0.99,0.19241457441815757,0.07010731447604672,0.5732064843021515,0.039989146883991994,0.934
100,1.5,0.5,1.0,0.03766579481352076,0.03534291735288517,0.95,0.03534291735288517,-0.002322877460635593,-0.06167074057871089,0.954,0.30626401617129295,0.26859822135777217,7.131091290853482,1.4751978493695979,1.0,0.045297587843014776,0.007631793029494016,0.20261866415611807,0.0008089149968747687,0.95
500,1.5,0.5,1.0,0.006969819878073508,0.007068583470577032,0.95,0.007068583470577032,9.876359250352365e-05,0.014170178603069206,0.954,0.03097149499470956,0.02400167511663605,3.443657875886203,0.0016382735727967534,1.0,0.007598083422500963,0.0006282635444274549,0.0901405711220632,9.200986845542924e-06,0.932
1000,1.5,0.5,1.0,0.0035975309964081385,0.003534291735288516,0.95,0.003534291735288516,-6.323926111962254e-05,-0.01757851737282101,0.956,0.012515884628828633,0.008918353632420495,2.4790206509199764,0.00025232364754020526,1.0,0.0036285671651892235,3.103616878108494e-05,0.0086270747387784,1.3429316250574961e-06,0.938
30,1.5,0.95,11.790338682965238,36.17544388328219,46.557526079110964,0.95,46.557526079110964,10.382082195828772,0.28699253088160886,0.968,1385.877401317631,1349.7019574343487,37.309893467764425,234054030.71206024,0.646,179.70446603631316,143.52902215303098,3.967581506839789,1107936.963749608,0.78
100,1.5,0.95,11.790338682965238,13.862357307489388,13.967257823733288,0.95,13.967257823733288,0.10490051624389984,0.007567292771138243,0.958,9.145519990375035,-4.7168373171143525,-0.3402622809733808,257.44633871665667,0.686,29.780582870832443,15.918225563343055,1.1483058191511877,4603.756382933196,0.882
500,1.5,0.95,11.790338682965238,2.653405657077135,2.7934515647466576,0.95,2.7934515647466576,0.1400459076695224,0.052779682328630555,0.954,2.135346152600675,-0.5180595044764602,-0.19524323508344735,2.4515488432279753,0.856,3.2447458676762646,0.5913402105991294,0.2228608388701943,4.350388063998041,0.932
1000,1.5,0.95,11.790338682965238,1.2562077297217342,1.3967257823733288,0.95,1.3967257823733288,0.14051805265159456,0.11185893011717184,0.968,1.1394673967072955,-0.11674033301443876,-0.09293075520264328,0.3606014916273624,0.898,1.58563772694972,0.3294299972279857,0.2622416575170721,0.720766812715951,0.954
30,1.5,0.99,32.770273576589084,1729.4683019481442,1122.5155048430522,0.95,1122.5155048430522,-606.952797105092,-0.3509476273265,0.968,408563.21902253875,406833.7507205906,235.23631526655697,19161095212491.34,0.43,594.1922344995907,-1135.2760674485535,-0.6564306880731678,24012982.64532734,0.408
100,1.5,0.99,32.770273576589084,200.3154251461635,336.75465145291565,0.95,336.75465145291565,136.43922630675215,0.6811219166332148,0.978,43.8223767944962,-156.4930483516673,-0.7812331388732522,61313.16525337881,0.438,590.2141430578092,389.8987179116457,1.9464238344458473,10915464.705588792,0.686
500,1.5,0.99,32.770273576589084,67.70525670306064,67.35093029058314,0.95,67.35093029058314,-0.35432641247750496,-0.005233366354868093,0.958,42.59101669586966,-25.11424000719098,-0.37093486134076914,4485.7045836959815,0.724,139.13534437673027,71.43008767366963,1.0550153880509636,187923.15596275183,0.894
1000,1.5,0.99,32.770273576589084,36.42088032334789,33.67546514529157,0.95,33.67546514529157,-2.7454151780563194,-0.07538025313178248,0.972,26.01412098361439,-10.406759339733497,-0.28573607357486536,960.1269338741422,0.796,45.334866071486,8.91398574813811,0.2447493215155409,3102.2781381311784,0.898
